Animal code,Trial,Pen,Sampling time,Sampling date,Chicken body weight,Salmonella,Campylobacter,Clostridium,CRP,HPT,LPS,COR
CC20.08,CC,CC20,Day 21,30/09/2019,964,NO,YES,NO,6.86,13.81,20.75,4.23
CC20.09,CC,CC20,Day 21,30/09/2019,908,NS,NS,NS,8.7,21.06,21.22,7.48
CC20.10,CC,CC20,Day 21,01/10/2019,998,NO,YES,NO,8.87,83.94,18.65,3.85
CC20.11,CC,CC20,Day 21,01/10/2019,962,NO,YES,NO,15.88,115.88,16.32,9.91
CC20.12,CC,CC20,Day 21,01/10/2019,916,NO,YES,NO,2.15,62.92,20.99,7.58
CC20.13,CC,CC20,Day 35,14/10/2019,1896,NO,YES,NO,0.5,0,46.57,17.35
CC20.14,CC,CC20,Day 35,14/10/2019,1834,NO,YES,NO,0.68,0,37.51,3.42
CC20.15,CC,CC20,Day 35,15/10/2019,2210,NO,YES,NO,0.83,0,41.26,3.36
CC20.16,CC,CC20,Day 35,15/10/2019,1980,NO,YES,NO,0.92,894.73,43.8,6.83
CC20.17,CC,CC20,Day 35,16/10/2019,2030,NO,YES,NO,1.35,67.15,41.62,6.23
CC20.18,CC,CC20,Day 35,16/10/2019,2070,NO,YES,NO,1.56,65.33,44.67,1.51
CC21.01,CC,CC21,Day 7,16/09/2019,183,NS,NS,NS,1.11,146.07,44.63,10.22
CC21.02,CC,CC21,Day 7,16/09/2019,191.7,NO,NO,NO,2.48,0,41.72,19.34
CC21.03,CC,CC21,Day 7,16/09/2019,165.4,NO,NO,NO,0.76,169.04,40.7,19.18
CC21.04,CC,CC21,Day 7,17/09/2019,173.4,NO,NO,NO,4.13,35.26,47.07,23.22
CC21.05,CC,CC21,Day 7,17/09/2019,219.9,NO,NO,NO,5.61,0,39.85,14.81
CC21.06,CC,CC21,Day 7,17/09/2019,233.8,NO,NO,NO,3.83,0,41.03,16.77
CC21.07,CC,CC21,Day 21,30/09/2019,940,NO,YES,NO,4,107.45,3.92,4.62
CC21.08,CC,CC21,Day 21,30/09/2019,992,NO,YES,NO,5.51,91.35,9.52,2.97
CC21.09,CC,CC21,Day 21,30/09/2019,950,NS,NS,NS,5.94,29.13,8.38,3.82
CC21.10,CC,CC21,Day 21,01/10/2019,1096,NO,YES,NO,3.52,46.65,9.47,3.42
CC21.11,CC,CC21,Day 21,01/10/2019,1088,NO,YES,NO,4.29,34.92,11.1,3.95
CC21.12,CC,CC21,Day 21,01/10/2019,960,NO,YES,NO,2.05,69.28,10.91,2.13
CC21.13,CC,CC21,Day 35,14/10/2019,1788,NS,NS,NS,1.53,0,46.96,9.34
CC21.14,CC,CC21,Day 35,14/10/2019,2478,NO,YES,NO,1.1,0,46.96,20.27
CC21.15,CC,CC21,Day 35,15/10/2019,2540,NO,YES,NO,0.84,0,53.05,15.35
CC21.16,CC,CC21,Day 35,15/10/2019,1900,NO,YES,NO,0.99,0,47.09,46.1
CC21.17,CC,CC21,Day 35,16/10/2019,1974,NO,YES,NO,0.77,0,47.09,18.46
CC21.18,CC,CC21,Day 35,16/10/2019,1780,NO,YES,NO,0.68,0,42.58,16.19
CC22.01,CC,CC22,Day 7,16/09/2019,166.1,NO,NO,NO,2.13,33.92,42.57,4.84
CC22.02,CC,CC22,Day 7,16/09/2019,185,NO,NO,NO,2.53,269.54,45.68,5.1
CC22.03,CC,CC22,Day 7,16/09/2019,170.8,NO,NO,NO,0.94,0,40.36,5.32
CC22.04,CC,CC22,Day 7,17/09/2019,181.5,NO,NO,NO,3.94,120.87,41.03,11.49
CC22.05,CC,CC22,Day 7,17/09/2019,186.3,NS,NS,NS,3.15,0,41.37,6.716
CC22.06,CC,CC22,Day 7,17/09/2019,188.8,NS,NS,NS,3,0,37.5,9.75
CC22.07,CC,CC22,Day 21,30/09/2019,928,NO,YES,NO,3.49,67.61,10.97,13.7
CC22.08,CC,CC22,Day 21,30/09/2019,730,NO,YES,NO,6.06,129.16,14.58,3.65
CC22.09,CC,CC22,Day 21,30/09/2019,786,NO,YES,NO,4.41,63.3,12.58,5.76
CC22.10,CC,CC22,Day 21,01/10/2019,788,NO,YES,NO,3.51,38.76,12.8,2.87
CC22.11,CC,CC22,Day 21,01/10/2019,936,NO,YES,NO,3.12,45.8,11.96,4.41
CC22.12,CC,CC22,Day 21,01/10/2019,910,NO,YES,NO,2.1,29.41,11.3,2.88
CC22.13,CC,CC22,Day 35,14/10/2019,1670,NO,YES,NO,1.02,0,54.48,11.93
CC22.14,CC,CC22,Day 35,14/10/2019,1540,NO,YES,NO,1.32,0,43.92,11.8
CC22.15,CC,CC22,Day 35,15/10/2019,1436,NO,YES,NO,1.24,0,45.04,19.12
CC22.16,CC,CC22,Day 35,15/10/2019,1910,NO,YES,NO,1.24,0,49.07,33.52
CC22.17,CC,CC22,Day 35,16/10/2019,1756,NO,YES,NO,1.07,0,47.22,17.72
CC22.18,CC,CC22,Day 35,16/10/2019,2244,NO,YES,NO,0.99,0,48.53,14.53
CC23.01,CC,CC23,Day 7,16/09/2019,187.6,NO,NO,NO,1.72,141.42,35.68,7.78
CC23.02,CC,CC23,Day 7,16/09/2019,199.7,NO,NO,NO,2.77,0,39.85,8.32
CC23.03,CC,CC23,Day 7,16/09/2019,209.1,YES,NO,NO,0.82,0,36.51,8.96
CC23.04,CC,CC23,Day 7,17/09/2019,233.2,YES,NO,YES,9.37,16.25,41.89,15.23
CC23.05,CC,CC23,Day 7,17/09/2019,220.4,YES,NO,NO,6.87,174.06,47.07,5.25
CC23.06,CC,CC23,Day 7,17/09/2019,189.5,NS,NS,NS,3.67,202.87,44.29,10.59
CC23.07,CC,CC23,Day 21,30/09/2019,940,NO,0,NO,4.34,17.01,10.23,11.19
CC23.08,CC,CC23,Day 21,30/09/2019,1080,NO,YES,NO,2.97,16.34,11.49,2.23
CC23.09,CC,CC23,Day 21,30/09/2019,1094,NO,YES,NO,3.82,79.83,11.96,12.24
CC23.10,CC,CC23,Day 21,01/10/2019,1066,NO,YES,NO,5.55,223.39,13.23,7.16
CC23.11,CC,CC23,Day 21,01/10/2019,1030,NO,YES,NO,6.66,115.7,11.1,6.93
CC23.12,CC,CC23,Day 21,01/10/2019,1052,NO,YES,NO,2.25,36.27,13.3,6.7
CC23.13,CC,CC23,Day 35,14/10/2019,2302,NO,YES,NO,0.82,242.39,47.35,22.77
CC23.14,CC,CC23,Day 35,14/10/2019,2420,NO,YES,NO,0.75,0,46.06,10.2
CC23.15,CC,CC23,Day 35,15/10/2019,2440,NO,YES,NO,1.26,0,44.92,29.42
CC23.16,CC,CC23,Day 35,15/10/2019,2150,NO,YES,NO,1.29,0,44.42,38.25
CC23.17,CC,CC23,Day 35,16/10/2019,1992,NO,YES,NO,0.98,0,45.93,21.44
CC23.18,CC,CC23,Day 35,16/10/2019,2132,NO,YES,NO,1.89,0,37.51,22.82
CC24.01,CC,CC24,Day 7,16/09/2019,166.3,NS,NS,NS,1.91,0,46.2,8.71
CC24.02,CC,CC24,Day 7,16/09/2019,172.8,NO,NO,NO,3.36,59.83,41.72,4.88
CC24.03,CC,CC24,Day 7,16/09/2019,188.6,NO,NO,NO,6.01,0,40.36,11.41
CC24.04,CC,CC24,Day 7,17/09/2019,217.8,NS,NS,NS,4.78,0,39.68,5.46
CC24.05,CC,CC24,Day 7,17/09/2019,224.9,NS,NS,NS,4.74,3.17,43.26,4.71
CC24.06,CC,CC24,Day 7,17/09/2019,218.2,NO,NO,NO,7.9,104.58,46.2,9.8
CC24.07,CC,CC24,Day 21,30/09/2019,846,NO,YES,NO,3.03,98.85,12.73,7.6
CC24.08,CC,CC24,Day 21,30/09/2019,768,NS,NS,NS,3.46,50.13,12.87,8.82
CC24.09,CC,CC24,Day 21,30/09/2019,874,NO,YES,NO,1.64,22.55,11.43,17.29
CC24.10,CC,CC24,Day 21,01/10/2019,736,NO,YES,NO,4.1,16.44,11.1,14.88
CC24.11,CC,CC24,Day 21,01/10/2019,746,NS,NS,NS,3.01,27.53,9.52,15.26
CC24.12,CC,CC24,Day 21,01/10/2019,706,NS,NS,NS,2.83,50.13,7.93,14.17
CC24.13,CC,CC24,Day 35,14/10/2019,1558,NO,YES,NO,1.33,0,48.93,15.16
CC24.14,CC,CC24,Day 35,14/10/2019,1748,NO,YES,NO,1.23,16.8,40.91,20.12
CC24.15,CC,CC24,Day 35,15/10/2019,1702,NO,YES,NO,1.63,39.19,36.53,11.46
CC24.16,CC,CC24,Day 35,15/10/2019,1984,NO,YES,NO,1.31,189.78,42.82,10.4
CC24.17,CC,CC24,Day 35,16/10/2019,2218,NO,YES,NO,1.93,161.67,42.94,20.37
CC24.18,CC,CC24,Day 35,16/10/2019,1540,NO,YES,NO,2.02,4.88,44.67,8.71
