holofood_id,ena_id
CC05.02F1a,ERR4303169
CA08.08F1a,ERR4303170
CB02.03F1a,ERR4303171
CC14.08F1a,ERR4303172
CA22.12F1a,ERR4303194
CB20.03F1a,ERR4303195
CC17.12F1a,ERR4303196
CB10.16F1a,ERR4303197
CC19.18F1a,ERR4303198
CA06.05F1a,ERR4303199
CA23.10F1a,ERR4303200
CA24.01F1a,ERR4303201
CB23.18F1a,ERR4303202
CA01.10F1a,ERR4303216
CC14.17F1a,ERR4303217
CB08.08F1a,ERR4303218
CB07.09F1a,ERR4303219
CC22.10F1a,ERR4303221
CA20.10F1a,ERR4303222
CA21.09F1a,ERR4304397
CB13.05F1a,ERR4304450
CB07.06F1a,ERR4304451
CA03.14F1a,ERR4304452
CC22.15F1a,ERR4304454
CA10.12F1a,ERR4304455
CC09.09F1a,ERR4304456
CB19.09F1a,ERR4304504
CC21.15F1a,ERR4304505
CC02.12F1a,ERR4304580
CA02.14F1a,ERR4304669
CA06.13F1a,ERR4304808
CC11.15F1a,ERR4336989
CB20.03C1a,ERR4647691
CA19.13C1a,ERR4647692
CA06.05C1a,ERR4647693
CB07.06C1a,ERR4647694
CA21.09C1a,ERR4647695
CA13.03C1a,ERR4647696
CA24.01C1a,ERR4647697
CC09.13C1a,ERR4647698
CC20.14C1a,ERR4647699
CA03.14C1a,ERR4647712
CA19.18C1a,ERR4647713
CC19.18C1a,ERR4647716
CB10.16C1a,ERR5100006
CC11.15C1a,ERR5100007
